apt_name,water,electric,gas,internet,sewer,trash,parking_fee,pet_fee,utility_fee
Here,No,No,No,Yes,Yes,Yes,,N/A,
Hub,No,No,No,Yes,No,Yes,150 - 260 ,250 (One Time) + 25 (monthly),
Dean,No,No,No,Yes,Yes,Yes,100 - 200,N/A,
ICON,Yes,No,No,Yes,Yes,Yes,,,
Gregory,,,,,,,,N/A,
Yugo,Yes,Yes,,Yes,Yes,Yes,,,
T3,,Yes,,Yes,Yes,Yes,60 - 80,N/A,
Octave,Yes,No,No,Yes,Yes,Yes,,,
75 Armory,Yes,No,No,Yes,Yes,Yes,,N/A,
Illini Manor,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,
707,No,No,No,Yes,Yes,Yes,160 (monthly),350 (One Time) + 35 (monthly),
Latitude,Yes,No,No,Yes,Yes,Yes,40 - 100 (monthly),400 (One Time) + 50 (montly),